dataset,seed,feature,gnn,val_acc,test_acc,wall_seconds,returncode
goodreads_children_n1500,0,E,GCN,0.5267,0.5,5.96124792098999,0
goodreads_children_n1500,0,E,SAGE,0.5033,0.5333,6.228907823562622,0
goodreads_children_n1500,0,P,GCN,0.5167,0.49,6.127594232559204,0
goodreads_children_n1500,0,P,SAGE,0.4633,0.48,6.277019262313843,0
goodreads_children_n1500,0,TA,GCN,0.5433,0.5067,5.931063175201416,0
goodreads_children_n1500,0,TA_P_E,GCN,0.56,0.5467,7.082125902175903,0
goodreads_children_n1500,0,TA_P_E,SAGE,0.5133,0.5733,7.662129163742065,0
goodreads_children_n1500,0,TA,SAGE,0.51,0.57,5.947255373001099,0
goodreads_children_n1500,0,ogb,GCN,0.46,0.43,6.51528525352478,0
goodreads_children_n1500,0,ogb,SAGE,0.44,0.4667,6.681308746337891,0
