feature,gnn,n_seeds,test_acc_mean,test_acc_std,val_acc_mean
E,GCN,4,0.584525,0.003073949685122845,0.58365
P,GCN,4,0.560425,0.0026512575632455164,0.5622
TA,GCN,4,0.593,0.0012027745701778864,0.592525
TA_P_E,GCN,4,0.5977250000000001,0.002280898945591396,0.5978249999999999
ogb,GCN,4,0.518975,0.0021929812280698326,0.518175
E,MLP,4,0.59255,0.0034933269720043678,0.593525
P,MLP,4,0.492725,0.0035236108373844846,0.493275
TA,MLP,4,0.6161,0.0022905603390145904,0.6168
TA_P_E,MLP,4,0.6217,0.002384673283002654,0.620975
ogb,MLP,4,0.457725,0.002490481881082457,0.45765
E,SAGE,4,0.6065,0.0032954514106567846,0.60685
P,SAGE,4,0.543775,0.0041899681780812326,0.54455
TA,SAGE,4,0.62,0.004596375383567648,0.6204
TA_P_E,SAGE,4,0.6386000000000001,0.003867815921162696,0.637725
ogb,SAGE,4,0.522875,0.003299873734958155,0.52325
